state_of_health,state_of_charge,cycle_count,current_amps,temperature_cell,charge_rate_kw,is_charging,internal_resistance,action_voltage,action_current,dT_dt,dV_dt,thermal_stress_index,aging_indicator,charging_efficiency,charging_time,cycle_degradation,balancing_time
70.89,77.24,3309,215.15,45.11,93.46,1,0.0124,339.33,55.3,0.962,-0.0356,0.801,0.945,0.957,128.2,0.8273,26.11
82.87,71.17,1052,34.58,44.11,137.97,0,0.0446,315.58,109.19,1.307,0.0296,0.93,0.301,0.98,56.49,0.263,21.21
68.49,75.77,3425,242.97,32.57,55.3,1,0.0345,325.62,227.93,-0.084,0.0373,0.334,0.979,0.931,106.26,0.8563,24.84
92.45,47.48,22,49.24,40.04,20.47,1,0.0438,378.07,75.7,0.004,0.0319,0.371,0.006,0.966,109.67,0.0055,13.85
73.58,27.2,2267,245.3,62.0,147.3,0,0.0154,442.68,47.9,0.471,0.0428,0.761,0.648,0.964,91.81,0.5667,13.77
87.28,28.29,1473,197.29,39.24,70.99,1,0.0116,418.37,70.84,0.868,0.0394,0.709,0.421,0.885,58.31,0.3683,24.84
88.77,92.51,1567,44.8,25.74,93.12,1,0.0082,332.57,31.91,0.827,0.0059,0.568,0.448,0.983,74.13,0.3917,16.6
65.4,82.26,3336,177.47,51.64,131.19,0,0.0289,355.74,187.45,0.504,0.0328,0.678,0.953,0.954,33.27,0.834,14.36
77.83,86.0,2122,97.19,30.39,10.56,1,0.0401,375.41,37.91,1.035,-0.0101,0.695,0.606,0.941,162.67,0.5305,11.81
92.43,34.11,473,239.89,32.66,126.94,1,0.032,404.6,101.69,0.125,0.0383,0.351,0.135,0.872,136.86,0.1183,3.69
94.9,70.11,445,155.61,34.14,138.99,0,0.0215,409.75,175.85,0.501,0.0045,0.516,0.127,0.921,103.29,0.1113,21.58
73.43,72.25,3460,237.3,35.71,61.4,0,0.0072,438.84,190.63,1.471,-0.0138,0.918,0.989,0.921,43.87,0.865,14.91
90.49,37.32,284,34.49,27.47,111.73,0,0.0483,385.46,96.06,1.326,0.0459,0.784,0.081,0.808,34.66,0.071,16.4
72.69,95.71,2354,232.72,53.93,91.57,1,0.0264,447.67,129.69,-0.214,-0.0262,0.583,0.673,0.826,37.72,0.5885,23.19
86.62,38.22,1601,146.61,39.15,104.58,0,0.0113,446.58,71.48,0.006,-0.0272,0.364,0.457,0.977,23.15,0.4002,29.07
82.36,97.7,1693,207.59,31.72,3.34,0,0.034,329.69,70.04,0.801,-0.0071,0.613,0.484,0.901,69.71,0.4233,14.17
89.75,73.04,1157,220.45,29.33,49.38,1,0.0177,435.29,211.34,1.235,-0.0115,0.765,0.331,0.849,88.59,0.2893,1.3
62.56,79.36,3489,235.52,55.04,115.4,1,0.0303,373.93,135.5,0.418,0.0243,0.675,0.997,0.849,128.79,0.8722,13.02
79.88,41.0,929,155.01,57.28,27.99,0,0.0435,425.87,33.58,1.086,0.027,0.963,0.265,0.899,51.34,0.2323,10.19
82.08,85.58,613,182.04,58.66,115.6,1,0.043,419.42,155.87,0.868,-0.0109,0.889,0.175,0.893,18.68,0.1532,0.18
82.55,68.86,1363,115.92,61.04,133.76,1,0.0079,331.39,208.65,1.258,-0.0044,1.067,0.389,0.95,174.12,0.3407,23.72
75.52,18.01,1776,170.48,46.9,10.52,1,0.0465,347.81,37.04,-0.429,-0.0188,0.605,0.507,0.866,66.64,0.444,23.08
72.46,28.92,3362,16.56,30.47,40.02,0,0.0154,367.37,43.44,1.338,-0.0128,0.816,0.961,0.813,102.56,0.8405,28.96
79.6,48.69,2391,249.12,32.83,53.47,1,0.0199,301.68,23.21,1.068,0.044,0.73,0.683,0.902,73.15,0.5978,21.08
71.36,10.91,2873,9.71,42.23,112.3,1,0.0307,349.26,53.87,1.484,0.0031,0.983,0.821,0.884,67.89,0.7183,22.23
66.53,90.02,2630,150.75,54.27,75.79,1,0.0458,354.36,181.13,-0.451,0.0062,0.681,0.751,0.838,34.63,0.6575,25.04
84.83,10.63,2105,56.38,22.96,78.22,1,0.0058,352.83,200.64,-0.301,-0.0342,0.332,0.601,0.942,53.59,0.5262,2.59
70.0,28.41,3066,91.43,49.23,46.64,1,0.0186,351.29,180.16,0.181,0.0094,0.527,0.876,0.84,161.39,0.7665,17.12
90.35,60.9,982,85.98,30.56,4.92,1,0.023,301.37,94.28,-0.136,0.0275,0.336,0.281,0.934,119.67,0.2455,3.71
95.54,71.13,406,145.06,38.36,44.81,0,0.0156,330.27,200.39,0.012,0.0441,0.359,0.116,0.972,129.76,0.1015,26.6
81.55,61.25,934,184.38,54.42,51.23,1,0.0387,442.08,47.55,0.349,-0.0291,0.642,0.267,0.862,93.21,0.2335,21.15
82.58,10.28,1321,162.45,61.75,47.18,1,0.0065,370.74,209.82,-0.352,0.0489,0.711,0.377,0.825,112.57,0.3302,15.18
92.21,66.9,461,107.92,47.82,44.58,1,0.0154,437.69,50.11,0.273,0.0462,0.551,0.132,0.94,52.85,0.1153,8.42
95.49,96.14,41,71.14,53.85,32.07,1,0.0053,310.52,231.96,-0.064,-0.0111,0.523,0.012,0.844,39.87,0.0103,26.49
73.56,18.34,2782,187.41,44.22,132.93,1,0.0197,355.23,233.53,-0.046,0.0342,0.427,0.795,0.841,142.47,0.6955,4.91
86.87,19.24,912,84.15,38.03,18.55,0,0.0386,380.13,134.31,0.814,-0.0139,0.677,0.261,0.931,47.59,0.228,28.57
86.76,72.5,1513,34.54,32.82,5.37,0,0.0188,366.56,91.54,1.127,-0.0468,0.754,0.432,0.876,141.25,0.3783,1.37
83.63,83.41,1037,214.97,61.5,53.11,0,0.0146,314.36,119.31,1.239,0.0413,1.063,0.296,0.932,137.24,0.2592,2.07
80.62,59.96,1878,87.41,36.88,114.78,1,0.0314,306.87,88.53,0.044,0.0107,0.358,0.537,0.829,87.19,0.4695,12.57
92.16,32.59,1023,154.79,25.11,17.05,0,0.0126,308.24,52.67,-0.443,0.0295,0.409,0.292,0.954,40.61,0.2558,25.7
69.65,93.07,1917,131.35,62.94,116.32,0,0.0462,440.0,138.97,0.102,0.0106,0.622,0.548,0.869,155.91,0.4793,29.22
70.02,47.58,2114,117.22,64.33,51.08,1,0.0337,365.65,85.48,1.064,0.0261,1.019,0.604,0.824,127.76,0.5285,3.6
79.25,78.72,1516,209.3,42.23,149.37,1,0.0468,356.65,97.17,1.082,-0.0437,0.823,0.433,0.968,128.52,0.379,3.95
94.04,81.26,38,53.76,44.7,146.3,1,0.0264,364.8,104.77,-0.451,0.0491,0.593,0.011,0.845,71.38,0.0095,0.06
73.57,88.53,2712,59.01,24.27,31.82,0,0.0368,339.92,12.97,-0.207,0.0241,0.307,0.775,0.875,31.82,0.678,5.2
83.44,11.82,486,92.71,58.88,11.29,0,0.0402,309.95,118.28,0.406,-0.0246,0.706,0.139,0.843,152.27,0.1215,9.19
84.0,77.3,1893,188.11,41.14,123.23,0,0.0097,401.97,97.57,-0.279,-0.028,0.491,0.541,0.976,62.27,0.4733,26.46
83.76,58.17,1145,43.48,47.65,16.42,0,0.031,360.98,157.76,1.494,0.0113,1.037,0.327,0.973,95.76,0.2863,17.94
73.33,74.78,1823,70.77,52.01,100.69,0,0.0474,422.78,235.3,1.204,-0.0358,0.962,0.521,0.833,137.83,0.4557,24.27
72.22,89.06,2598,63.2,33.54,119.85,0,0.0475,395.62,149.01,0.851,-0.0482,0.65,0.742,0.833,161.67,0.6495,7.2
87.88,47.28,457,67.66,53.73,100.75,1,0.0275,379.47,46.63,-0.465,0.0375,0.682,0.131,0.885,88.08,0.1143,28.72
75.3,46.19,2462,245.55,50.33,121.0,0,0.0153,391.54,197.48,1.021,0.0449,0.873,0.703,0.885,97.56,0.6155,1.04
78.49,87.51,2813,221.7,24.92,32.11,1,0.0091,320.5,138.6,0.189,0.0014,0.306,0.804,0.937,22.98,0.7033,20.1
73.41,87.28,1941,37.41,57.93,38.47,0,0.0346,312.48,101.32,0.485,0.0229,0.729,0.555,0.914,104.65,0.4853,14.85
73.03,43.06,1931,49.1,54.91,3.85,0,0.0412,337.17,27.0,-0.127,0.036,0.558,0.552,0.898,111.91,0.4828,5.45
75.16,27.39,2078,42.19,52.3,97.09,1,0.0283,443.25,233.81,0.375,0.0193,0.633,0.594,0.878,57.02,0.5195,24.24
84.68,56.34,327,148.69,57.06,54.64,1,0.0438,401.99,95.43,-0.169,0.0095,0.594,0.093,0.892,16.21,0.0818,11.06
75.33,18.11,2194,96.23,40.95,149.2,0,0.041,353.61,162.75,0.435,-0.0349,0.552,0.627,0.954,146.03,0.5485,10.82
78.12,84.37,2498,55.74,31.82,101.31,0,0.0238,316.3,228.14,0.252,0.0321,0.395,0.714,0.955,144.69,0.6245,25.95
67.62,10.0,2890,74.26,63.02,65.95,0,0.0175,427.04,81.04,0.591,0.0063,0.818,0.826,0.883,73.44,0.7225,27.15
79.62,16.82,2742,77.87,25.9,15.11,0,0.0055,349.52,37.06,-0.134,-0.0407,0.293,0.783,0.885,22.83,0.6855,27.84
77.62,73.48,2200,208.48,31.31,82.35,1,0.0375,394.11,193.77,-0.438,-0.0127,0.464,0.629,0.908,112.18,0.55,6.31
69.1,82.98,2302,151.04,62.95,62.93,0,0.0327,374.31,207.8,1.037,0.0409,0.996,0.658,0.814,18.69,0.5755,21.66
61.69,86.93,3311,72.17,64.26,13.4,1,0.0277,325.54,82.7,0.048,-0.0408,0.612,0.946,0.833,106.68,0.8277,6.92
68.29,42.7,3397,167.38,54.59,74.15,1,0.0058,331.37,83.45,-0.302,-0.0259,0.625,0.971,0.834,104.2,0.8493,7.64
84.6,97.47,631,138.66,53.82,126.95,1,0.036,372.21,27.39,-0.246,-0.0149,0.595,0.18,0.831,61.1,0.1578,13.49
89.41,33.31,808,12.86,47.26,37.04,1,0.0152,301.96,73.76,1.22,0.0038,0.924,0.231,0.864,125.58,0.202,12.57
92.23,58.96,121,217.68,39.52,90.72,0,0.0399,425.24,93.83,-0.099,0.0081,0.404,0.035,0.845,88.08,0.0302,19.23
93.78,65.75,121,55.44,36.42,89.8,1,0.0381,405.31,78.32,1.111,-0.0298,0.781,0.035,0.932,145.09,0.0302,14.35
89.48,69.27,618,197.78,47.74,83.28,1,0.0232,432.36,64.89,1.38,0.0392,0.993,0.177,0.963,45.28,0.1545,9.99
94.7,52.04,719,55.59,33.29,35.54,1,0.0113,424.31,221.29,0.462,-0.0155,0.492,0.205,0.903,35.16,0.1797,24.44
68.18,89.99,3221,119.77,39.55,97.49,0,0.038,446.85,12.04,0.996,-0.007,0.763,0.92,0.97,46.82,0.8053,18.6
67.79,25.79,3366,129.16,24.59,33.84,0,0.0395,307.87,141.08,-0.35,-0.0174,0.367,0.962,0.874,62.52,0.8415,4.51
91.9,54.63,325,84.37,56.09,7.18,0,0.0092,395.22,17.48,1.242,-0.0103,1.015,0.093,0.89,96.09,0.0813,13.33
71.58,53.87,3487,84.4,24.03,66.96,1,0.0171,330.25,129.08,1.484,0.0462,0.815,0.996,0.965,27.07,0.8718,11.66
66.28,25.45,3494,178.36,22.42,116.09,0,0.041,357.7,75.61,1.023,0.031,0.616,0.998,0.812,93.5,0.8735,16.7
75.31,29.11,2923,201.22,28.51,107.38,1,0.0204,377.43,187.65,0.452,0.0305,0.444,0.835,0.924,72.19,0.7308,7.13
87.65,18.79,598,121.31,62.72,3.11,1,0.0107,436.38,138.63,1.244,-0.0222,1.077,0.171,0.962,112.95,0.1495,14.56
83.28,91.57,1559,240.62,43.85,99.37,1,0.0222,332.17,127.93,0.561,0.0066,0.629,0.445,0.95,90.28,0.3897,23.9
73.72,89.09,2279,106.72,63.54,50.8,1,0.0098,438.51,238.13,0.204,0.045,0.668,0.651,0.824,78.26,0.5697,7.62
80.57,94.15,2551,61.25,26.73,149.33,0,0.0083,400.24,106.85,0.263,-0.032,0.352,0.729,0.88,146.63,0.6378,5.95
75.91,18.79,2708,17.37,37.25,125.2,1,0.0216,334.43,78.63,0.925,-0.0051,0.714,0.774,0.857,113.57,0.677,5.54
86.47,85.3,172,77.77,58.42,84.01,1,0.0377,339.58,47.16,1.316,0.0195,1.066,0.049,0.805,33.09,0.043,18.79
74.94,23.08,2164,137.39,38.18,92.4,0,0.0485,304.09,63.27,0.131,-0.0,0.405,0.618,0.97,133.54,0.541,29.19
83.61,38.66,1288,248.96,42.8,112.55,1,0.0334,330.6,125.69,-0.277,-0.0178,0.506,0.368,0.977,23.27,0.322,12.22
82.06,72.44,1652,147.64,54.8,103.13,0,0.007,337.57,192.22,0.644,-0.05,0.763,0.472,0.871,95.01,0.413,1.58
70.03,84.5,2958,238.36,24.85,25.1,1,0.0437,408.17,56.96,-0.459,-0.0348,0.413,0.845,0.813,166.53,0.7395,23.63
66.53,47.17,3413,57.6,35.65,60.1,1,0.042,378.44,231.81,0.183,0.0163,0.402,0.975,0.809,146.98,0.8533,1.55
83.03,85.79,624,167.62,53.39,91.62,0,0.0467,376.73,138.32,0.701,-0.0345,0.773,0.178,0.961,59.66,0.156,28.35
63.12,93.38,2953,215.17,60.39,126.47,1,0.0405,377.87,235.62,0.92,-0.0234,0.925,0.844,0.82,120.29,0.7382,16.61
78.22,36.88,1896,233.61,45.79,57.09,0,0.0309,382.72,159.38,0.175,0.0101,0.493,0.542,0.936,24.9,0.474,26.11
91.18,30.85,114,237.02,39.95,103.96,1,0.0459,362.36,136.59,1.092,-0.0111,0.806,0.033,0.919,57.87,0.0285,27.96
85.96,82.57,577,198.6,50.11,122.22,1,0.037,382.19,65.75,-0.444,-0.0124,0.64,0.165,0.836,159.57,0.1442,24.74
79.72,33.52,1925,161.03,24.49,5.89,0,0.0381,382.88,182.91,0.518,-0.0091,0.433,0.55,0.912,140.96,0.4813,27.54
74.32,52.06,3030,99.11,42.21,79.35,0,0.011,444.17,131.8,0.492,-0.0132,0.586,0.866,0.973,67.78,0.7575,26.3
77.41,47.1,1839,25.64,60.01,125.82,1,0.0149,366.93,67.45,0.101,-0.0038,0.594,0.525,0.867,68.72,0.4597,18.7
86.51,53.4,981,84.73,38.43,114.09,1,0.0352,321.77,113.11,0.956,-0.0038,0.737,0.28,0.809,26.01,0.2452,21.86
77.12,69.39,1816,78.87,56.95,126.2,0,0.0218,438.35,29.08,1.343,-0.0047,1.063,0.519,0.866,174.25,0.454,3.55
89.04,22.75,993,24.67,24.48,122.49,0,0.0272,398.56,182.2,0.652,0.0209,0.487,0.284,0.807,15.79,0.2482,26.84
60.38,17.85,3301,87.94,54.68,70.26,0,0.0492,336.24,106.76,-0.277,-0.0356,0.616,0.943,0.844,166.48,0.8253,23.71
73.67,67.75,1908,28.7,54.87,42.44,1,0.038,371.38,148.01,1.195,0.0061,0.984,0.545,0.831,135.39,0.477,29.75
71.76,61.04,2537,240.64,48.76,60.86,1,0.0331,348.52,165.2,1.054,0.0147,0.872,0.725,0.934,39.51,0.6342,16.79
73.11,62.23,3340,125.16,30.66,110.74,0,0.0134,322.69,179.45,1.201,-0.0021,0.763,0.954,0.836,67.27,0.835,11.78
84.53,61.2,1187,200.83,21.93,115.98,1,0.0442,357.08,213.27,-0.07,-0.0037,0.23,0.339,0.955,25.01,0.2968,15.22
81.29,25.65,440,53.13,62.66,134.13,0,0.0488,399.77,92.7,0.994,0.0497,0.976,0.126,0.956,159.71,0.11,14.69
83.86,44.63,985,147.71,45.1,48.01,1,0.0394,436.92,69.06,-0.395,0.013,0.574,0.281,0.884,30.55,0.2462,12.54
71.52,76.96,2707,144.26,24.91,17.53,0,0.0472,305.24,239.93,0.239,0.0458,0.326,0.773,0.873,58.79,0.6767,10.93
68.1,55.45,3140,228.85,46.04,34.42,0,0.0309,433.28,199.99,0.674,-0.045,0.695,0.897,0.903,17.35,0.785,1.19
89.17,63.08,709,90.72,39.7,64.09,1,0.0331,400.19,54.66,0.472,0.0035,0.555,0.203,0.957,157.42,0.1772,25.0
76.56,24.06,2408,56.72,37.29,136.16,1,0.0302,335.31,105.85,1.479,0.0066,0.936,0.688,0.85,37.0,0.602,28.05
75.03,71.49,2939,16.85,33.0,88.46,1,0.0219,366.64,94.33,0.204,0.0187,0.386,0.84,0.973,42.32,0.7348,4.22
88.04,75.43,1129,201.39,46.24,16.15,1,0.0111,419.18,210.2,0.209,-0.0381,0.51,0.323,0.889,92.53,0.2823,25.94
94.26,32.04,93,12.43,35.47,72.19,0,0.0388,311.61,68.47,-0.04,-0.0472,0.343,0.027,0.967,145.06,0.0232,13.18
95.29,13.49,210,188.85,41.95,144.65,1,0.0195,433.33,222.81,1.231,-0.0019,0.88,0.06,0.984,134.38,0.0525,20.56
89.98,53.02,951,191.8,28.33,31.8,0,0.0265,333.09,103.03,1.169,0.0121,0.729,0.272,0.964,132.39,0.2378,27.29
89.47,15.7,432,180.15,41.87,113.13,0,0.0395,393.79,79.84,0.848,0.0324,0.726,0.123,0.964,171.96,0.108,14.36
80.82,97.11,1924,230.98,32.97,103.66,0,0.0333,334.43,249.41,0.329,-0.0489,0.436,0.55,0.956,138.4,0.481,15.1
92.34,86.85,1058,203.99,25.7,36.61,0,0.0097,350.63,213.2,0.996,0.0337,0.636,0.302,0.913,148.78,0.2645,29.47
79.18,27.7,1786,218.79,40.58,34.5,0,0.0378,306.73,19.74,0.138,-0.0373,0.43,0.51,0.899,100.01,0.4465,26.98
82.88,59.04,1435,100.7,22.17,49.35,1,0.0421,322.0,56.56,0.517,0.0016,0.411,0.41,0.926,133.9,0.3588,2.37
90.8,69.53,224,91.87,61.18,126.78,1,0.0126,429.83,112.64,-0.252,0.0072,0.666,0.064,0.99,161.52,0.056,10.68
84.82,29.35,1259,21.44,33.85,29.74,1,0.0377,303.1,241.34,-0.213,0.0493,0.398,0.36,0.812,100.17,0.3148,16.8
91.07,50.06,298,150.43,25.41,93.45,1,0.0452,409.79,107.5,0.654,0.0019,0.496,0.085,0.83,113.16,0.0745,28.76
76.49,23.78,2140,129.51,28.91,47.62,0,0.0461,410.62,159.43,-0.493,0.003,0.464,0.611,0.945,72.08,0.535,28.73
69.68,74.8,2612,249.69,57.4,65.47,0,0.0257,353.1,10.94,0.008,-0.0004,0.533,0.746,0.813,93.78,0.653,19.36
75.39,25.76,1625,118.75,59.35,141.37,0,0.035,411.66,233.43,-0.411,-0.0314,0.712,0.464,0.9,38.74,0.4062,16.29
73.57,79.32,1821,29.52,63.24,68.11,1,0.0296,403.94,120.73,1.098,-0.0019,1.023,0.52,0.843,35.03,0.4552,7.0
79.32,37.92,2108,153.17,47.77,96.67,1,0.0137,351.71,57.42,0.583,0.0313,0.674,0.602,0.919,63.05,0.527,8.46
69.59,12.02,3327,245.21,32.33,39.34,0,0.0315,370.88,133.78,1.015,-0.0043,0.704,0.951,0.836,24.02,0.8317,22.15
84.38,32.45,1946,101.06,38.83,104.55,1,0.0074,382.4,80.02,1.373,-0.0352,0.908,0.556,0.859,38.52,0.4865,1.67
98.05,31.89,51,34.77,35.02,43.91,1,0.0223,353.81,161.61,1.318,0.0412,0.85,0.015,0.976,62.17,0.0128,17.26
76.47,78.93,1809,125.82,56.21,138.21,0,0.0257,448.14,94.3,0.206,0.0481,0.601,0.517,0.815,34.68,0.4522,22.54
83.07,93.48,1772,191.31,44.75,52.56,1,0.0133,345.93,130.15,1.292,0.0176,0.93,0.506,0.943,138.42,0.443,21.82
71.92,98.67,2372,165.2,48.41,92.05,1,0.04,430.06,233.21,0.932,-0.0209,0.82,0.678,0.974,43.79,0.593,26.85
85.59,24.57,950,181.64,37.53,55.82,1,0.0428,305.03,126.42,0.29,0.0308,0.462,0.271,0.837,158.37,0.2375,13.58
64.47,93.79,3252,146.95,50.52,7.45,0,0.0367,395.92,195.24,-0.107,0.0114,0.509,0.929,0.828,165.81,0.813,7.65
91.55,83.8,555,80.32,40.29,86.65,1,0.0268,422.0,73.33,0.793,-0.0187,0.689,0.159,0.98,73.86,0.1388,10.98
83.84,98.61,1177,28.4,50.75,80.72,0,0.0227,398.87,98.8,-0.035,-0.02,0.482,0.336,0.84,127.71,0.2943,25.17
83.8,89.01,1669,246.34,41.63,148.72,0,0.0183,416.55,240.22,0.16,0.004,0.448,0.477,0.935,127.16,0.4173,11.51
75.73,42.32,2113,224.72,64.45,54.55,0,0.0075,312.21,51.7,1.152,-0.0169,1.056,0.604,0.99,172.12,0.5282,29.63
61.61,26.39,3261,60.03,64.52,127.28,1,0.0297,334.44,130.14,-0.061,-0.0212,0.62,0.932,0.83,64.52,0.8153,27.93
79.59,59.87,1739,212.61,30.37,49.94,1,0.0466,311.0,231.9,0.083,0.0047,0.314,0.497,0.941,144.01,0.4348,11.88
67.47,82.01,3114,215.67,57.42,49.32,1,0.0168,308.22,44.26,-0.196,-0.0337,0.608,0.89,0.823,134.46,0.7785,27.43
84.84,74.45,1762,132.84,27.51,110.85,0,0.0193,319.07,175.77,-0.195,-0.0437,0.332,0.503,0.931,82.54,0.4405,22.33
81.99,39.88,1308,5.44,63.8,56.05,1,0.0086,354.77,221.72,-0.303,0.0363,0.71,0.374,0.937,77.46,0.327,11.3
92.66,88.4,329,37.12,30.07,127.04,1,0.0364,357.03,219.23,1.179,-0.0103,0.749,0.094,0.859,108.17,0.0823,18.87
75.11,87.39,3254,64.94,29.74,29.94,0,0.0081,396.58,235.62,0.334,-0.012,0.408,0.93,0.921,89.93,0.8135,25.16
73.51,73.42,3013,198.22,36.23,44.24,0,0.0223,306.82,163.72,1.227,0.0329,0.825,0.861,0.815,134.36,0.7532,9.34
73.09,98.03,3300,10.16,40.97,149.41,0,0.0076,442.07,98.49,0.24,0.0483,0.474,0.943,0.932,94.5,0.825,12.18
96.67,12.93,29,211.15,45.48,84.1,1,0.0137,419.08,231.92,0.062,-0.0104,0.445,0.008,0.928,177.13,0.0073,25.16
75.89,59.14,2199,231.34,47.59,123.75,0,0.0276,320.58,126.48,0.319,-0.0232,0.567,0.628,0.927,76.79,0.5497,27.36
87.37,21.26,586,187.5,41.72,61.67,1,0.0437,387.42,201.99,1.158,0.009,0.848,0.167,0.938,106.06,0.1465,17.22
81.49,45.2,631,132.21,56.97,3.8,1,0.0476,318.78,225.26,-0.125,-0.045,0.576,0.18,0.882,105.5,0.1578,19.3
96.82,44.91,148,85.73,35.98,136.28,0,0.0213,325.89,12.96,1.248,-0.0051,0.831,0.042,0.853,21.24,0.037,9.73
87.26,26.72,692,139.16,27.12,38.63,1,0.0498,442.54,149.73,0.11,0.0322,0.294,0.198,0.92,135.8,0.173,29.52
77.16,86.74,1601,141.89,62.85,137.29,1,0.0224,382.5,154.79,0.52,0.0148,0.788,0.457,0.935,133.31,0.4002,29.19
87.88,76.23,1154,229.41,43.7,41.53,1,0.0155,373.91,52.0,1.171,-0.0015,0.872,0.33,0.939,116.16,0.2885,2.05
92.12,53.54,137,134.17,57.73,100.42,1,0.0139,433.09,78.17,0.083,-0.0231,0.566,0.039,0.937,93.19,0.0343,2.76
82.2,55.45,1388,36.84,42.95,32.16,0,0.0341,330.35,58.18,1.35,0.039,0.936,0.397,0.835,173.27,0.347,13.18
78.87,50.59,2709,186.75,33.73,18.95,1,0.0106,405.52,36.82,0.381,-0.0432,0.464,0.774,0.886,163.85,0.6773,25.5
91.12,39.31,193,240.23,64.28,34.33,0,0.0076,355.46,189.04,-0.103,-0.0056,0.635,0.055,0.989,152.4,0.0483,22.41
75.77,98.59,2509,169.94,53.77,75.31,0,0.0067,363.04,34.68,0.124,-0.011,0.546,0.717,0.939,171.05,0.6272,19.67
75.1,49.46,2563,48.06,45.37,134.42,0,0.0196,355.31,134.13,0.716,-0.0174,0.705,0.732,0.877,140.82,0.6408,8.43
83.99,61.18,964,215.5,46.43,5.05,1,0.0366,420.78,15.74,0.019,-0.0001,0.436,0.275,0.816,55.71,0.241,5.44
96.33,51.9,160,199.85,35.2,132.38,0,0.026,375.1,56.03,1.421,-0.022,0.893,0.046,0.958,157.58,0.04,17.86
78.35,56.6,1402,93.65,60.66,113.68,0,0.0272,323.59,39.5,0.601,0.0069,0.8,0.401,0.9,132.3,0.3505,21.19
62.46,27.04,3163,240.78,55.5,69.31,0,0.0435,336.01,138.79,-0.33,0.0323,0.644,0.904,0.873,137.96,0.7908,22.45
75.92,63.06,2214,100.04,52.32,144.15,1,0.0192,368.32,51.72,-0.088,-0.0005,0.518,0.633,0.888,31.14,0.5535,15.69
77.65,39.82,1311,201.51,58.72,47.45,0,0.0381,346.17,102.1,0.64,0.0075,0.798,0.375,0.959,98.02,0.3277,10.66
91.94,65.72,394,107.95,56.75,5.47,0,0.0061,394.9,134.33,0.902,0.027,0.885,0.113,0.946,88.79,0.0985,27.87
67.27,91.58,2744,137.68,58.36,21.22,1,0.0318,420.29,14.99,-0.08,-0.0492,0.571,0.784,0.862,167.64,0.686,26.45
80.19,18.47,1942,181.32,53.24,107.39,1,0.0068,301.12,27.52,0.997,0.0098,0.89,0.555,0.851,51.88,0.4855,19.33
76.28,59.35,1730,43.47,48.4,125.9,1,0.0432,372.02,113.33,0.505,0.0051,0.649,0.494,0.926,49.71,0.4325,8.66
83.49,52.29,662,146.19,53.09,100.96,0,0.0418,322.18,95.66,1.378,-0.045,1.041,0.189,0.859,34.98,0.1655,19.13
73.46,28.11,2372,174.41,59.72,81.04,1,0.0139,367.05,24.57,1.241,-0.031,1.048,0.678,0.878,66.71,0.593,25.39
76.92,92.54,2055,78.56,48.31,111.77,0,0.0259,375.93,99.5,0.034,0.0106,0.46,0.587,0.844,77.11,0.5138,26.74
73.81,88.93,2452,237.4,60.06,36.46,0,0.0094,390.43,248.01,1.495,0.0332,1.152,0.701,0.941,137.15,0.613,7.53
65.64,68.2,3378,187.66,57.34,95.7,0,0.0167,367.04,193.8,-0.253,-0.0312,0.63,0.965,0.902,147.8,0.8445,18.68
94.64,75.6,256,75.54,39.46,29.58,0,0.0223,423.56,96.8,-0.076,0.0111,0.395,0.073,0.83,88.86,0.064,18.08
74.95,25.97,3096,104.89,28.75,74.63,0,0.0138,445.58,224.84,0.442,-0.0144,0.442,0.885,0.825,140.09,0.774,7.65
89.68,42.58,1335,215.28,26.09,127.52,0,0.0113,423.78,104.23,0.011,-0.0447,0.245,0.381,0.873,95.98,0.3337,7.61
82.57,80.36,738,99.2,64.87,103.81,0,0.0266,318.57,134.32,0.357,-0.0176,0.742,0.211,0.919,41.52,0.1845,18.0
77.45,29.62,1403,86.17,59.61,50.98,1,0.0344,445.0,157.76,0.431,0.0063,0.723,0.401,0.978,92.48,0.3508,18.67
82.43,79.8,2406,225.54,23.68,66.59,1,0.0057,317.88,32.46,0.722,0.0144,0.507,0.687,0.939,81.09,0.6015,15.73
86.14,78.55,380,121.18,64.41,56.59,1,0.0246,306.2,73.68,0.779,-0.0064,0.906,0.109,0.974,73.2,0.095,10.15
78.5,50.95,1881,58.3,24.87,78.1,1,0.045,417.19,81.69,0.933,-0.0297,0.603,0.537,0.848,171.22,0.4703,26.99
76.16,55.7,2278,33.54,55.13,57.67,1,0.0113,410.48,151.1,0.745,-0.0391,0.807,0.651,0.895,33.56,0.5695,5.37
88.14,94.08,172,165.12,53.3,53.02,1,0.0387,398.87,213.86,0.2,0.0036,0.572,0.049,0.915,29.54,0.043,7.03
87.43,18.12,901,154.71,44.39,43.11,1,0.0265,343.31,33.94,0.912,0.0297,0.775,0.257,0.917,38.08,0.2253,2.83
78.65,15.92,1873,65.25,61.76,80.23,0,0.005,306.25,80.22,0.613,-0.0379,0.815,0.535,0.886,160.1,0.4682,17.44
92.66,19.33,401,34.7,53.57,38.47,1,0.0061,416.09,107.08,1.148,-0.002,0.954,0.115,0.885,55.89,0.1003,5.45
95.33,62.24,576,237.28,34.67,106.23,1,0.0138,310.44,225.6,0.998,0.0407,0.719,0.165,0.9,130.92,0.144,22.44
