vehicle_id,timestamp,voltage,current,battery_temperature,ambient_temperature,soc,soh,charge_cycles,charging_status,charging_type,battery_capacity,speed,distance,power,cell_voltage_max,cell_voltage_min,voltage_imbalance,risk_level,fault_code
EV00868,2026-01-01 22:27:00,393.67,151.4,25.28,37.06,32.61,93.12,344,Idle,None,75,0.0,9716.61,59.6,4.083,3.923,0.16,Low,NONE
EV00869,2026-01-01 22:28:00,400.04,75.83,41.4,30.7,82.74,94.02,243,Charging,Fast DC,90,0.0,4689.94,30.34,4.194,4.11,0.084,Medium,NONE
EV00870,2026-01-01 22:29:00,396.5,84.24,27.26,26.85,62.42,90.9,455,Idle,None,90,0.0,10790.16,33.4,4.092,4.066,0.026,Low,NONE
EV00871,2026-01-01 22:30:00,392.34,95.19,47.41,26.4,7.98,69.05,1251,Discharging,None,60,113.65,27944.73,37.35,4.115,4.019,0.096,Medium,NONE
EV00872,2026-01-01 22:31:00,390.81,158.88,58.34,33.67,30.64,58.91,1321,Charging,Fast DC,60,0.0,24875.89,62.09,4.111,4.043,0.068,High,OVERHEAT
EV00873,2026-01-01 22:32:00,400.68,159.41,43.37,33.39,29.65,62.9,1720,Charging,Fast DC,75,0.0,38019.28,63.87,4.163,4.117,0.046,Medium,NONE
EV00874,2026-01-01 22:33:00,395.24,87.06,41.64,33.78,20.27,69.77,1446,Discharging,None,75,111.26,35924.14,34.41,4.173,4.063,0.11,Medium,NONE
EV00875,2026-01-01 22:34:00,403.41,51.77,50.3,31.57,18.74,64.16,1380,Idle,None,90,0.0,38505.89,20.88,4.16,4.138,0.022,High,OVERHEAT
EV00876,2026-01-01 22:35:00,403.45,169.41,42.48,26.33,80.24,70.02,1400,Discharging,None,75,72.07,25261.77,68.35,4.118,3.965,0.153,Medium,NONE
EV00877,2026-01-01 22:36:00,391.89,91.89,58.93,21.95,25.77,76.78,404,Discharging,None,90,74.61,8077.26,36.01,4.107,4.031,0.076,High,OVERHEAT
EV00878,2026-01-01 22:37:00,404.29,175.48,45.19,20.29,82.31,94.79,53,Discharging,None,75,70.21,1505.89,70.94,4.155,4.031,0.124,Medium,NONE
EV00879,2026-01-01 22:38:00,396.84,85.66,37.33,30.85,54.7,68.28,1586,Discharging,None,60,112.63,37280.33,33.99,4.106,3.998,0.108,Medium,NONE
EV00880,2026-01-01 22:39:00,392.44,89.74,34.98,33.19,69.63,73.64,1318,Discharging,None,90,82.04,38355.94,35.22,4.179,4.0,0.179,Medium,NONE
EV00881,2026-01-01 22:40:00,402.09,36.61,47.74,32.33,44.07,73.09,1036,Idle,None,90,0.0,30175.31,14.72,4.065,3.974,0.091,Medium,NONE
EV00882,2026-01-01 22:41:00,398.72,25.22,35.15,28.41,26.17,80.98,951,Idle,None,75,0.0,18424.69,10.06,4.178,4.006,0.172,Low,NONE
EV00883,2026-01-01 22:42:00,395.26,147.0,41.24,38.16,66.26,66.49,1626,Idle,None,75,0.0,29416.39,58.1,4.106,4.05,0.056,Medium,NONE
EV00884,2026-01-01 22:43:00,394.25,160.74,34.26,36.77,80.54,82.62,869,Idle,None,60,0.0,15685.36,63.37,4.186,4.161,0.025,Low,NONE
EV00885,2026-01-01 22:44:00,390.39,146.48,54.43,30.38,75.42,75.06,670,Discharging,None,60,115.92,20042.35,57.18,4.086,3.91,0.176,High,OVERHEAT
EV00886,2026-01-01 22:45:00,392.89,123.11,54.0,36.03,59.9,83.14,283,Idle,None,75,0.0,8413.1,48.37,4.076,3.911,0.165,High,OVERHEAT
EV00887,2026-01-01 22:46:00,397.76,89.98,28.49,36.02,52.9,73.74,1313,Idle,None,75,0.0,36916.79,35.79,4.144,4.082,0.062,Medium,NONE
EV00888,2026-01-01 22:47:00,398.29,171.79,32.13,21.87,46.55,73.86,1307,Idle,None,60,0.0,23962.3,68.42,4.156,3.989,0.167,Medium,NONE
EV00889,2026-01-01 22:48:00,391.18,81.18,50.98,22.61,48.1,64.96,1313,Discharging,None,60,43.97,37781.46,31.76,4.095,3.989,0.106,High,OVERHEAT
EV00890,2026-01-01 22:49:00,393.68,144.8,52.51,35.41,67.63,78.33,583,Charging,Fast DC,90,0.0,10655.89,57.0,4.198,4.039,0.159,High,OVERHEAT
EV00891,2026-01-01 22:50:00,391.66,168.35,29.29,22.84,29.89,92.22,389,Charging,Fast DC,75,0.0,10944.7,65.94,4.187,4.134,0.053,Low,NONE
EV00892,2026-01-01 22:51:00,391.51,147.27,39.48,29.73,64.44,91.0,450,Idle,None,75,0.0,10126.37,57.66,4.097,3.932,0.165,Low,NONE
EV00893,2026-01-01 22:52:00,402.13,48.77,25.35,23.57,58.89,74.76,1262,Charging,Fast DC,75,0.0,37765.19,19.61,4.123,4.005,0.118,Medium,NONE
EV00894,2026-01-01 22:53:00,398.2,45.34,50.96,38.53,23.32,89.63,80,Idle,None,60,0.0,1937.28,18.05,4.164,4.109,0.055,High,OVERHEAT
EV00895,2026-01-01 22:54:00,395.47,163.77,26.03,22.77,12.93,71.28,1436,Charging,Slow AC,75,0.0,34146.5,64.77,4.193,4.117,0.076,Medium,NONE
EV00896,2026-01-01 22:55:00,398.27,67.09,51.08,29.92,53.7,74.36,839,Charging,Slow AC,60,0.0,17094.22,26.72,4.177,4.042,0.135,High,OVERHEAT
EV00897,2026-01-01 22:56:00,404.43,36.46,52.76,31.75,20.74,80.97,441,Idle,None,75,0.0,10231.93,14.75,4.117,4.002,0.115,High,OVERHEAT
EV00898,2026-01-01 22:57:00,394.08,71.0,28.76,27.66,23.97,85.16,742,Discharging,None,90,101.93,17357.49,27.98,4.183,4.01,0.173,Low,NONE
EV00899,2026-01-01 22:58:00,393.8,85.57,46.14,37.55,95.29,72.97,1106,Discharging,None,75,22.99,22295.69,33.7,4.098,3.951,0.147,Medium,NONE
EV00900,2026-01-01 22:59:00,395.37,31.62,47.99,27.44,79.05,88.21,270,Charging,Slow AC,90,0.0,4895.32,12.5,4.099,4.005,0.094,Medium,NONE
EV00901,2026-01-01 23:00:00,401.93,163.8,44.66,27.71,62.17,74.29,1099,Charging,Fast DC,90,0.0,23448.9,65.84,4.141,3.98,0.161,Medium,NONE
EV00902,2026-01-01 23:01:00,402.9,31.97,56.24,28.44,76.84,73.61,670,Discharging,None,60,39.71,18513.91,12.88,4.125,3.947,0.178,High,OVERHEAT
EV00903,2026-01-01 23:02:00,396.32,39.85,30.99,26.54,41.37,76.0,1200,Charging,Slow AC,60,0.0,30868.8,15.79,4.178,4.0,0.178,Medium,NONE
EV00904,2026-01-01 23:03:00,403.67,65.5,54.46,28.06,90.1,50.43,1900,Idle,None,60,0.0,41892.49,26.44,4.052,3.957,0.095,High,OVERHEAT
EV00905,2026-01-01 23:04:00,402.45,86.41,35.53,26.34,37.85,96.34,183,Idle,None,75,0.0,4378.43,34.78,4.057,3.989,0.068,Low,NONE
EV00906,2026-01-01 23:05:00,404.76,98.93,47.44,38.21,85.09,55.25,1940,Idle,None,60,0.0,35601.83,40.04,4.057,4.035,0.022,High,BATTERY_DEGRADED
EV00907,2026-01-01 23:06:00,391.58,71.66,49.07,28.71,21.17,84.52,411,Idle,None,75,0.0,11423.24,28.06,4.131,4.11,0.021,Medium,NONE
EV00908,2026-01-01 23:07:00,400.32,28.4,55.92,20.86,9.56,74.4,643,Charging,Slow AC,75,0.0,16882.0,11.37,4.169,4.088,0.081,High,OVERHEAT
EV00909,2026-01-01 23:08:00,400.48,167.98,45.42,22.4,35.34,89.2,323,Idle,None,75,0.0,8282.64,67.27,4.15,4.047,0.103,Medium,NONE
EV00910,2026-01-01 23:09:00,393.61,96.47,42.15,25.61,78.4,78.12,1008,Charging,Fast DC,75,0.0,27411.98,37.97,4.157,4.081,0.076,Medium,NONE
EV00911,2026-01-01 23:10:00,402.53,58.78,47.65,37.12,71.02,90.42,173,Discharging,None,60,41.25,4505.96,23.66,4.12,4.038,0.082,Medium,NONE
EV00912,2026-01-01 23:11:00,397.31,74.47,53.49,35.23,53.82,75.99,661,Discharging,None,90,65.4,13119.52,29.59,4.126,3.96,0.166,High,OVERHEAT
EV00913,2026-01-01 23:12:00,393.28,78.18,59.13,37.36,53.78,52.36,1617,Discharging,None,60,26.86,37315.72,30.75,4.153,3.981,0.172,High,OVERHEAT
EV00914,2026-01-01 23:13:00,398.66,36.33,41.13,22.14,15.47,98.04,53,Discharging,None,60,46.68,1256.89,14.48,4.13,4.054,0.076,Medium,NONE
EV00915,2026-01-01 23:14:00,391.77,108.05,37.4,24.24,42.71,81.96,902,Idle,None,75,0.0,16811.37,42.33,4.091,4.055,0.036,Low,NONE
EV00916,2026-01-01 23:15:00,399.73,137.12,39.79,25.88,43.26,75.28,1236,Discharging,None,90,80.74,29940.15,54.81,4.066,4.038,0.028,Medium,NONE
EV00917,2026-01-01 23:16:00,393.73,37.77,29.03,37.9,59.65,89.84,508,Charging,Fast DC,75,0.0,10524.53,14.87,4.143,4.008,0.135,Low,NONE
EV00918,2026-01-01 23:17:00,395.88,36.21,50.69,37.59,30.49,82.63,441,Charging,Fast DC,75,0.0,11308.47,14.33,4.156,4.09,0.066,High,OVERHEAT
EV00919,2026-01-01 23:18:00,390.05,49.61,56.77,32.44,75.21,51.26,1766,Idle,None,60,0.0,35395.57,19.35,4.152,4.105,0.047,High,OVERHEAT
EV00920,2026-01-01 23:19:00,394.98,92.83,58.68,33.32,45.65,83.82,62,Charging,Slow AC,60,0.0,1243.02,36.67,4.164,4.142,0.022,High,OVERHEAT
EV00921,2026-01-01 23:20:00,395.28,95.81,25.04,37.46,49.89,97.76,112,Charging,Slow AC,60,0.0,2721.96,37.87,4.075,4.032,0.043,Low,NONE
EV00922,2026-01-01 23:21:00,391.41,68.74,50.77,29.05,74.81,68.64,1137,Discharging,None,90,68.65,25436.36,26.91,4.052,3.976,0.076,High,OVERHEAT
EV00923,2026-01-01 23:22:00,400.65,162.62,52.11,37.14,90.71,65.51,1240,Discharging,None,60,46.99,30047.32,65.15,4.146,4.102,0.044,High,OVERHEAT
EV00924,2026-01-01 23:23:00,396.15,55.24,59.79,27.14,7.94,60.13,1202,Idle,None,90,0.0,35674.74,21.88,4.104,3.965,0.139,High,OVERHEAT
EV00925,2026-01-01 23:24:00,392.91,172.77,47.36,39.31,88.33,65.91,1410,Idle,None,75,0.0,42085.65,67.88,4.181,4.133,0.048,Medium,NONE
EV00926,2026-01-01 23:25:00,403.65,75.82,36.59,31.78,94.8,88.3,585,Discharging,None,60,24.11,14180.95,30.6,4.101,3.983,0.118,Low,NONE
EV00927,2026-01-01 23:26:00,396.5,92.8,58.89,35.85,32.4,84.15,37,Discharging,None,90,34.71,968.33,36.8,4.128,4.062,0.066,High,OVERHEAT
EV00928,2026-01-01 23:27:00,398.37,46.02,42.04,21.29,33.0,79.39,949,Charging,Fast DC,75,0.0,26482.46,18.33,4.069,3.971,0.098,Medium,NONE
EV00929,2026-01-01 23:28:00,390.08,76.36,54.19,21.0,18.08,52.27,1819,Discharging,None,90,86.53,49525.23,29.79,4.073,4.039,0.034,High,OVERHEAT
EV00930,2026-01-01 23:29:00,394.06,179.35,31.89,31.7,12.67,90.64,468,Charging,Slow AC,75,0.0,9820.86,70.67,4.152,4.07,0.082,Low,NONE
EV00931,2026-01-01 23:30:00,395.99,164.67,56.26,38.4,61.72,79.51,374,Idle,None,75,0.0,9779.01,65.21,4.098,3.985,0.113,High,OVERHEAT
EV00932,2026-01-01 23:31:00,400.25,51.92,29.75,31.09,33.6,96.1,195,Discharging,None,90,112.71,4589.1,20.78,4.078,3.933,0.145,Low,NONE
EV00933,2026-01-01 23:32:00,402.51,35.37,43.43,33.88,52.86,68.8,1423,Idle,None,75,0.0,33612.04,14.24,4.114,4.027,0.087,Medium,NONE
EV00934,2026-01-01 23:33:00,396.15,24.43,44.56,39.15,44.99,65.01,1567,Charging,Slow AC,60,0.0,39118.38,9.68,4.106,3.987,0.119,Medium,NONE
EV00935,2026-01-01 23:34:00,403.5,160.45,26.87,36.9,16.96,72.16,1392,Charging,Slow AC,90,0.0,32743.53,64.74,4.058,4.029,0.029,Medium,NONE
EV00936,2026-01-01 23:35:00,402.45,123.98,36.67,21.95,32.6,79.88,1006,Idle,None,75,0.0,28542.0,49.9,4.068,3.954,0.114,Medium,NONE
EV00937,2026-01-01 23:36:00,397.66,134.71,49.56,30.33,58.39,52.35,2000,Discharging,None,60,42.35,52216.34,53.57,4.178,4.11,0.068,High,BATTERY_DEGRADED
EV00938,2026-01-01 23:37:00,394.66,178.27,25.23,29.7,70.34,94.92,254,Charging,Fast DC,60,0.0,6412.35,70.36,4.068,4.033,0.035,Low,NONE
EV00939,2026-01-01 23:38:00,393.06,95.8,54.15,28.88,10.29,83.3,269,Discharging,None,75,68.37,5436.09,37.66,4.085,3.929,0.156,High,OVERHEAT
EV00940,2026-01-01 23:39:00,393.9,118.04,40.37,33.16,16.7,93.32,319,Idle,None,60,0.0,6449.44,46.5,4.173,4.048,0.125,Medium,NONE
EV00941,2026-01-01 23:40:00,392.56,138.67,44.13,29.52,32.55,68.96,1387,Charging,Slow AC,75,0.0,36079.19,54.44,4.109,3.977,0.132,Medium,NONE
EV00942,2026-01-01 23:41:00,391.61,86.7,39.87,20.56,48.42,76.5,1175,Discharging,None,60,78.05,21630.58,33.95,4.148,4.023,0.125,Medium,NONE
EV00943,2026-01-01 23:42:00,396.67,165.3,37.42,22.79,88.83,80.84,958,Discharging,None,60,118.18,21356.67,65.57,4.178,4.077,0.101,Low,NONE
EV00944,2026-01-01 23:43:00,395.23,133.0,38.67,21.26,67.31,85.2,740,Idle,None,90,0.0,18320.75,52.57,4.119,3.962,0.157,Low,NONE
EV00945,2026-01-01 23:44:00,392.1,145.59,48.05,38.47,11.48,58.8,1738,Idle,None,75,0.0,39136.76,57.09,4.121,3.996,0.125,High,BATTERY_DEGRADED
EV00946,2026-01-01 23:45:00,398.64,168.39,52.14,30.51,17.3,76.63,683,Idle,None,90,0.0,15146.99,67.13,4.143,4.058,0.085,High,OVERHEAT
EV00947,2026-01-01 23:46:00,390.67,156.32,30.57,21.93,15.09,61.34,1933,Idle,None,75,0.0,42301.6,61.07,4.085,3.942,0.143,Medium,NONE
EV00948,2026-01-01 23:47:00,403.76,147.3,28.69,37.62,74.18,83.88,806,Discharging,None,60,26.19,16930.68,59.47,4.056,3.916,0.14,Low,NONE
EV00949,2026-01-01 23:48:00,396.62,79.89,47.1,20.59,21.54,89.52,240,Idle,None,75,0.0,5407.57,31.69,4.198,4.086,0.112,Medium,NONE
EV00950,2026-01-01 23:49:00,393.0,60.4,40.31,25.72,24.11,92.73,351,Discharging,None,90,100.87,7127.95,23.74,4.137,4.016,0.121,Medium,NONE
EV00951,2026-01-01 23:50:00,400.03,52.57,53.35,37.87,39.16,72.22,855,Idle,None,90,0.0,24259.68,21.03,4.101,3.972,0.129,High,OVERHEAT
EV00952,2026-01-01 23:51:00,404.37,136.53,43.49,23.8,24.71,62.93,1714,Discharging,None,90,55.21,43572.87,55.21,4.134,4.092,0.042,Medium,NONE
EV00953,2026-01-01 23:52:00,391.01,88.4,38.16,21.42,12.42,67.56,1622,Idle,None,75,0.0,31160.17,34.57,4.125,4.097,0.028,Medium,NONE
EV00954,2026-01-01 23:53:00,398.11,23.61,53.75,25.8,83.67,72.62,819,Idle,None,75,0.0,15409.84,9.4,4.181,4.006,0.175,High,OVERHEAT
EV00955,2026-01-01 23:54:00,391.12,112.06,54.86,38.64,52.5,71.37,837,Idle,None,60,0.0,20549.44,43.83,4.184,4.071,0.113,High,OVERHEAT
EV00956,2026-01-01 23:55:00,404.05,177.59,47.86,20.65,45.03,85.11,430,Discharging,None,60,33.93,10562.97,71.76,4.16,3.992,0.168,Medium,NONE
EV00957,2026-01-01 23:56:00,399.95,160.52,33.25,21.46,95.06,62.56,1872,Idle,None,90,0.0,52453.52,64.2,4.171,4.096,0.075,Medium,NONE
EV00958,2026-01-01 23:57:00,391.06,86.6,50.88,38.59,89.31,71.3,1000,Charging,Slow AC,90,0.0,18500.89,33.87,4.055,3.954,0.101,High,OVERHEAT
EV00959,2026-01-01 23:58:00,399.76,89.04,35.62,37.0,97.29,98.74,63,Charging,Fast DC,60,0.0,1537.84,35.59,4.179,4.05,0.129,Low,NONE
EV00960,2026-01-01 23:59:00,401.07,108.4,26.82,35.31,71.07,82.0,900,Idle,None,75,0.0,22135.09,43.48,4.067,4.028,0.039,Low,NONE
EV00961,2026-01-02 00:00:00,399.23,164.57,37.31,26.86,92.22,89.86,507,Charging,Fast DC,90,0.0,9187.14,65.7,4.112,3.972,0.14,Low,NONE
EV00962,2026-01-02 00:01:00,402.12,105.79,26.6,36.04,87.96,89.38,531,Charging,Fast DC,60,0.0,10365.43,42.54,4.077,4.05,0.027,Low,NONE
EV00963,2026-01-02 00:02:00,395.25,124.83,33.55,25.85,62.58,80.0,1000,Idle,None,60,0.0,25879.08,49.34,4.061,3.891,0.17,Low,NONE
EV00964,2026-01-02 00:03:00,393.09,132.84,53.47,37.95,86.58,70.66,928,Idle,None,75,0.0,27187.73,52.22,4.167,4.1,0.067,High,OVERHEAT
EV00965,2026-01-02 00:04:00,399.8,104.3,34.36,33.96,52.83,97.4,130,Discharging,None,75,90.55,3310.12,41.7,4.092,4.039,0.053,Low,NONE
EV00966,2026-01-02 00:05:00,392.06,176.15,33.07,34.84,25.02,84.36,782,Idle,None,60,0.0,14412.58,69.06,4.085,3.995,0.09,Low,NONE
EV00967,2026-01-02 00:06:00,401.46,172.49,25.75,36.73,30.68,75.52,1224,Discharging,None,75,102.72,23273.04,69.25,4.092,3.974,0.118,Medium,NONE
EV00968,2026-01-02 00:07:00,397.43,158.04,38.46,20.89,24.54,92.06,397,Idle,None,75,0.0,9682.79,62.81,4.149,4.124,0.025,Low,NONE
EV00969,2026-01-02 00:08:00,401.44,169.96,56.85,35.09,36.94,52.2,1716,Discharging,None,90,41.65,31451.09,68.23,4.159,4.04,0.119,High,OVERHEAT
EV00970,2026-01-02 00:09:00,402.99,145.22,57.5,35.05,81.7,62.94,1153,Discharging,None,90,113.25,24730.72,58.52,4.199,4.093,0.106,High,OVERHEAT
EV00971,2026-01-02 00:10:00,396.36,135.08,51.92,25.2,96.23,70.92,977,Idle,None,60,0.0,19132.08,53.54,4.052,3.904,0.148,High,OVERHEAT
EV00972,2026-01-02 00:11:00,404.26,33.69,33.75,30.86,37.07,83.44,828,Charging,Slow AC,75,0.0,17574.27,13.62,4.088,3.964,0.124,Low,NONE
EV00973,2026-01-02 00:12:00,401.57,21.97,35.74,33.22,84.42,64.9,1755,Charging,Slow AC,75,0.0,31953.64,8.82,4.051,4.025,0.026,Medium,NONE
EV00974,2026-01-02 00:13:00,395.38,122.04,44.48,28.17,60.06,92.78,182,Discharging,None,90,75.14,5357.99,48.25,4.116,4.055,0.061,Medium,NONE
EV00975,2026-01-02 00:14:00,401.8,61.53,42.32,24.55,21.58,62.06,1804,Idle,None,90,0.0,33545.3,24.72,4.067,4.041,0.026,Medium,NONE
EV00976,2026-01-02 00:15:00,400.27,157.69,45.3,20.84,73.15,92.88,144,Idle,None,75,0.0,4277.29,63.12,4.052,3.897,0.155,Medium,NONE
EV00977,2026-01-02 00:16:00,402.74,106.47,26.57,24.69,15.37,78.84,1058,Discharging,None,60,71.1,22052.68,42.88,4.099,4.02,0.079,Medium,NONE
EV00978,2026-01-02 00:17:00,402.34,86.56,47.47,37.52,18.59,80.26,688,Idle,None,75,0.0,15149.64,34.83,4.111,3.987,0.124,Medium,NONE
EV00979,2026-01-02 00:18:00,397.06,175.76,46.77,23.21,9.24,56.08,1925,Charging,Fast DC,60,0.0,48718.78,69.79,4.171,4.069,0.102,High,BATTERY_DEGRADED
EV00980,2026-01-02 00:19:00,401.71,101.31,45.35,26.88,25.41,61.3,1721,Idle,None,60,0.0,44547.59,40.7,4.073,3.931,0.142,Medium,NONE
EV00981,2026-01-02 00:20:00,399.74,172.83,58.55,39.85,58.71,61.24,1196,Idle,None,90,0.0,32061.67,69.09,4.131,4.092,0.039,High,OVERHEAT
EV00982,2026-01-02 00:21:00,403.18,147.71,46.25,33.18,54.43,81.62,669,Discharging,None,60,103.6,14394.73,59.55,4.087,4.028,0.059,Medium,NONE
EV00983,2026-01-02 00:22:00,401.51,77.91,40.95,34.96,15.96,88.98,513,Discharging,None,90,115.76,11757.5,31.28,4.062,3.952,0.11,Medium,NONE
EV00984,2026-01-02 00:23:00,391.15,77.97,41.95,24.61,79.7,88.64,490,Idle,None,60,0.0,14263.22,30.5,4.087,3.922,0.165,Medium,NONE
EV00985,2026-01-02 00:24:00,400.11,126.54,46.19,35.92,37.45,89.83,261,Charging,Slow AC,75,0.0,6279.74,50.63,4.072,3.973,0.099,Medium,NONE
EV00986,2026-01-02 00:25:00,403.22,51.7,31.3,29.08,20.84,82.46,877,Discharging,None,90,91.14,20730.81,20.85,4.065,3.906,0.159,Low,NONE
EV00987,2026-01-02 00:26:00,402.51,23.83,30.84,21.46,53.92,77.92,1104,Discharging,None,75,55.44,25201.9,9.59,4.134,4.0,0.134,Medium,NONE
EV00988,2026-01-02 00:27:00,391.79,163.59,56.44,31.83,63.58,56.87,1499,Charging,Fast DC,90,0.0,43543.98,64.09,4.192,4.026,0.166,High,OVERHEAT
EV00989,2026-01-02 00:28:00,399.46,138.51,40.25,35.15,71.51,69.36,1522,Charging,Fast DC,60,0.0,43753.22,55.33,4.139,4.06,0.079,Medium,NONE
EV00990,2026-01-02 00:29:00,399.74,80.7,40.35,30.17,60.87,60.64,1954,Charging,Fast DC,75,0.0,46738.75,32.26,4.057,3.954,0.103,Medium,NONE
EV00991,2026-01-02 00:30:00,397.88,101.32,57.48,25.71,41.49,54.62,1570,Charging,Fast DC,60,0.0,43595.52,40.31,4.16,3.982,0.178,High,OVERHEAT
EV00992,2026-01-02 00:31:00,393.16,103.06,45.13,32.31,14.45,83.84,603,Charging,Fast DC,75,0.0,12835.57,40.52,4.116,3.954,0.162,Medium,NONE
EV00993,2026-01-02 00:32:00,394.33,166.83,59.61,35.07,92.83,56.63,1384,Discharging,None,60,29.6,34082.33,65.79,4.126,4.079,0.047,High,OVERHEAT
EV00994,2026-01-02 00:33:00,398.98,26.36,56.17,30.76,23.54,66.66,1020,Charging,Slow AC,60,0.0,21809.69,10.52,4.192,4.104,0.088,High,OVERHEAT
EV00995,2026-01-02 00:34:00,396.67,40.19,40.88,38.36,73.04,61.26,1902,Charging,Slow AC,75,0.0,45494.06,15.94,4.063,4.021,0.042,Medium,NONE
EV00996,2026-01-02 00:35:00,394.18,126.99,58.9,36.07,75.71,75.38,475,Idle,None,60,0.0,10414.56,50.06,4.126,4.062,0.064,High,OVERHEAT
EV00997,2026-01-02 00:36:00,399.46,102.06,52.2,34.14,34.91,51.98,1913,Charging,Slow AC,60,0.0,55837.44,40.77,4.169,4.098,0.071,High,OVERHEAT
EV00998,2026-01-02 00:37:00,402.62,125.78,55.72,20.71,65.28,86.7,36,Charging,Fast DC,90,0.0,810.52,50.64,4.191,4.063,0.128,High,OVERHEAT
EV00999,2026-01-02 00:38:00,393.98,44.23,53.49,34.67,31.85,80.69,426,Idle,None,60,0.0,12528.66,17.43,4.179,4.039,0.14,High,OVERHEAT
EV01000,2026-01-02 00:39:00,390.05,30.76,44.52,24.17,21.92,78.86,876,Idle,None,75,0.0,22215.83,12.0,4.145,4.087,0.058,Medium,NONE
EV01001,2026-01-02 00:40:00,395.23,104.87,58.4,37.56,84.87,49.04,1812,Discharging,None,90,68.51,49940.45,41.45,4.109,4.032,0.077,High,OVERHEAT
EV01002,2026-01-02 00:41:00,397.21,35.45,28.93,37.62,76.72,87.84,608,Discharging,None,75,52.54,15777.0,14.08,4.067,3.973,0.094,Low,NONE
EV01003,2026-01-02 00:42:00,394.78,38.17,49.39,34.1,78.5,72.29,1010,Discharging,None,90,61.2,21026.5,15.07,4.094,3.993,0.101,Medium,NONE
EV01004,2026-01-02 00:43:00,403.35,145.25,27.13,35.44,29.85,86.6,670,Discharging,None,75,100.9,15478.6,58.59,4.089,4.06,0.029,Low,NONE
EV01005,2026-01-02 00:44:00,397.28,55.03,47.27,20.91,47.53,84.72,473,Idle,None,60,0.0,11556.41,21.86,4.167,4.129,0.038,Medium,NONE
EV01006,2026-01-02 00:45:00,404.52,117.72,29.52,30.8,95.28,98.74,63,Discharging,None,60,98.04,1385.97,47.62,4.103,3.96,0.143,Low,NONE
EV01007,2026-01-02 00:46:00,390.95,27.87,32.37,30.71,98.6,65.28,1736,Idle,None,75,0.0,49157.75,10.9,4.084,3.936,0.148,Medium,NONE
EV01008,2026-01-02 00:47:00,403.66,73.04,32.55,34.67,94.3,98.14,93,Charging,Fast DC,90,0.0,2118.1,29.48,4.123,4.078,0.045,Low,NONE
EV01009,2026-01-02 00:48:00,394.52,56.8,52.03,24.95,30.88,84.92,273,Discharging,None,90,60.08,7594.74,22.41,4.181,4.023,0.158,High,OVERHEAT
EV01010,2026-01-02 00:49:00,391.15,100.72,49.62,34.65,6.91,61.5,1540,Idle,None,90,0.0,44702.65,39.4,4.064,3.95,0.114,Medium,NONE
EV01011,2026-01-02 00:50:00,395.87,153.04,55.08,35.7,45.39,57.1,1542,Charging,Slow AC,75,0.0,36247.59,60.58,4.065,3.89,0.175,High,OVERHEAT
EV01012,2026-01-02 00:51:00,398.64,80.25,40.03,24.45,43.6,88.18,590,Discharging,None,75,110.77,14395.08,31.99,4.087,4.064,0.023,Medium,NONE
EV01013,2026-01-02 00:52:00,397.46,82.98,38.05,30.93,15.29,90.44,478,Idle,None,60,0.0,10883.19,32.98,4.085,4.006,0.079,Low,NONE
EV01014,2026-01-02 00:53:00,398.45,122.85,36.64,36.19,97.7,95.7,215,Idle,None,60,0.0,4405.82,48.95,4.191,4.076,0.115,Low,NONE
EV01015,2026-01-02 00:54:00,391.26,84.51,54.33,30.47,84.77,57.0,1577,Charging,Fast DC,75,0.0,33155.3,33.07,4.097,4.023,0.074,High,OVERHEAT
EV01016,2026-01-02 00:55:00,392.26,71.43,44.79,28.13,5.53,67.51,1433,Charging,Slow AC,90,0.0,34388.83,28.02,4.194,4.136,0.058,Medium,NONE
EV01017,2026-01-02 00:56:00,396.92,97.28,44.42,34.79,74.64,58.34,1906,Charging,Slow AC,90,0.0,36080.68,38.61,4.069,4.047,0.022,High,BATTERY_DEGRADED
EV01018,2026-01-02 00:57:00,397.8,39.44,31.91,37.39,15.8,63.34,1833,Discharging,None,75,37.07,50660.17,15.69,4.123,3.983,0.14,Medium,NONE
EV01019,2026-01-02 00:58:00,398.21,83.9,35.39,28.71,32.95,61.84,1908,Idle,None,75,0.0,46306.7,33.41,4.142,4.063,0.079,Medium,NONE
EV01020,2026-01-02 00:59:00,399.75,42.64,43.31,24.09,63.33,67.69,1483,Discharging,None,90,80.45,35095.67,17.05,4.082,4.009,0.073,Medium,NONE
EV01021,2026-01-02 01:00:00,401.2,179.39,57.47,23.28,72.93,66.22,990,Charging,Slow AC,75,0.0,19949.2,71.97,4.121,3.942,0.179,High,OVERHEAT
EV01022,2026-01-02 01:01:00,390.08,132.23,31.97,21.88,48.57,95.74,213,Charging,Slow AC,90,0.0,4233.89,51.58,4.103,3.994,0.109,Low,NONE
EV01023,2026-01-02 01:02:00,393.39,120.61,57.48,25.49,82.97,50.08,1797,Discharging,None,90,92.93,40265.91,47.45,4.165,3.996,0.169,High,OVERHEAT
EV01024,2026-01-02 01:03:00,398.42,122.66,32.09,31.85,14.78,90.74,463,Discharging,None,60,46.29,8902.5,48.87,4.17,4.056,0.114,Low,NONE
EV01025,2026-01-02 01:04:00,401.49,72.83,52.02,31.84,31.34,56.92,1673,Idle,None,90,0.0,43534.74,29.24,4.121,4.074,0.047,High,OVERHEAT
